Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Scor,Scor.1,Offe,Offe.1,Offe.2,Offe.3,Offe.4,Defe,Defe.1,Defe.2,Defe.3,Defe.4,Expe,Expe.1,Expe.2
Week,Date,,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,September 12,L,0-1,,Miami Dolphins,16,17,24,393,268,125,2,16,259,185,74,1,5.75,0.74,-6.05
2,September 19,W,1-1,@,New York Jets,25,6,17,260,159,101,,18,336,184,152,4,0.24,12.66,3.52
3,September 26,L,1-2,,New Orleans Saints,13,28,16,300,251,49,3,19,252,110,142,,-16.39,-3.67,5.40
4,October 3,L,1-3,,Tampa Bay Buccaneers,17,19,20,294,295,-1,2,22,381,261,120,,0.96,-5.45,2.94
5,October 10,W,2-3,@,Houston Texans,25,22,21,352,226,126,2,14,360,293,67,1,6.89,-13.76,8.60
6,October 17,L,2-4,,Dallas Cowboys,29,35,17,335,215,120,2,32,567,445,122,2,0.65,-9.87,0.90
7,October 24,W,3-4,,New York Jets,54,13,32,551,403,148,,18,299,237,62,3,37.61,5.92,0.06
8,October 31,W,4-4,@,Los Angeles Chargers,27,24,21,352,210,142,1,17,369,206,163,2,-1.47,-1.35,9.98
9,November 7,W,5-4,@,Carolina Panthers,24,6,17,273,122,151,2,13,240,162,78,3,-3.56,26.35,-5.26
10,November 14,W,6-4,,Cleveland Browns,45,7,30,452,268,184,,17,217,118,99,1,31.28,9.48,-2.69
11,November 18,W,7-4,@,Atlanta Falcons,25,0,20,308,174,134,1,11,165,125,40,4,-0.69,25.53,2.44
12,November 28,W,8-4,,Tennessee Titans,36,13,23,394,289,105,,18,355,85,270,4,16.62,2.23,4.08
13,December 6,W,9-4,@,Buffalo Bills,14,10,11,241,19,222,1,16,230,131,99,1,-1.79,7.94,-0.85
15,December 18,L,9-5,@,Indianapolis Colts,17,27,20,365,284,81,2,15,275,49,226,1,-2.77,-3.63,-4.16
16,December 26,L,9-6,,Buffalo Bills,21,33,20,288,139,149,2,28,428,314,114,,9.37,-19.09,1.08
17,January 2,W,10-6,,Jacksonville Jaguars,50,10,32,471,290,181,,11,253,173,80,3,32.81,11.33,-3.40
18,January 9,,,@,Miami Dolphins,,,,,,,,,,,,,,,
